date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
8/27/16,"Sorry, Justin Bieber",Sorry,Justin Bieber,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,200787.0,2.4568245125348187
5/5/18,"Wake Me Up!, Avicii",Wake Me Up!,Avicii,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427.0,2.452481076534903
6/18/11,"Grenade, Bruno Mars",Grenade,Bruno Mars,0.704,0.558,2.0,-7.273,0.0,0.0542,0.148,0.0,0.107,0.245,110.444,222091.0,2.432432432432432
4/29/17,"Starboy, The Weeknd",Starboy,The Weeknd,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453.0,2.432432432432432
6/9/12,"Moves Like Jagger, Maroon 5",Moves Like Jagger,Maroon 5,0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047,201160.0,2.4203629032258065
2/25/17,"Don't Let Me Down, The Chainsmokers",Don't Let Me Down,The Chainsmokers,0.723,0.0401,8.0,-25.259,0.0,0.0447,0.994,0.944,0.0884,0.529,130.007,254769.0,2.397163120567376
1/20/18,"Despacito, Luis Fonsi",Despacito,Luis Fonsi,0.655,0.797,2.0,-4.787,1.0,0.153,0.198,0.0,0.067,0.839,177.928,229360.0,2.384892086330935
5/17/14,"Royals, Lorde",Royals,Lorde,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,190185.0,2.3754601226993866
12/26/20,"Positions, Ariana Grande",Positions,Ariana Grande,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,2.3703703703703702
6/22/13,"Locked Out Of Heaven, Bruno Mars",Locked Out Of Heaven,Bruno Mars,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,233478.0,2.356363636363636
12/1/18,"Psycho, Post Malone",Psycho,Post Malone,0.75,0.56,8.0,-8.094,1.0,0.105,0.546,0.0,0.111,0.459,140.06,221440.0,2.354489164086687
11/28/15,"Thinking Out Loud, Ed Sheeran",Thinking Out Loud,Ed Sheeran,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,281560.0,2.34425087108014
